symbol,timeframe,wing_width,enter_time,exit_time,profit_factor,win_rate,total_positions,avg_pnl,ror_perc,avg_risk_return_perc,max_dd
SPX,13_00_to_13_30,50,13_00,13_30,1.4,71.3%,495,$24.00,0.6%,60%,"$3,725.00"
SPX,14_30_to_15_00,50,14_30,15_00,1.24,71.7%,495,$21.00,0.6%,39.2%,"$6,370.00"
SPX,13_30_to_14_00,50,13_30,14_00,1.22,71.1%,495,$17.00,0.5%,52.7%,"$3,725.00"
SPX,afternoon,50,13_30,15_00,1.21,68.7%,495,$44.00,1.3%,52.7%,"$10,660.00"
SPX,15_00_to_15_30,50,15_00,15_30,1.18,68.1%,495,$17.00,0.4%,31.5%,"$7,034.00"
SPX,10_00_to_10_30,50,10_00,10_30,1.16,67.8%,490,$13.00,0.3%,98.1%,"$4,129.00"
SPX,10_30_to_11_00,50,10_30,11_00,1.15,70.4%,493,$10.00,0.3%,88.6%,"$4,527.00"
SPX,09_30_to_10_00,50,09_35,10_00,1.13,64.5%,493,$8.00,0.3%,114%,"$3,253.00"
SPX,post_open,50,10_30,11_30,1.13,69.4%,496,$14.00,0.5%,88.6%,"$8,771.00"
SPX,lunch,50,11_30,13_30,1.11,64.4%,495,$19.00,0.6%,74.3%,"$13,026.00"
SPX,open,50,09_35,10_30,1.11,65.3%,496,$15.00,0.6%,114.1%,"$4,394.00"
SPX,close,50,15_00,16_00,1.01,60%,495,$2.00,0.1%,31.5%,"$19,979.00"
SPX,overall,50,9_35,16_00,1.01,52.1%,495,$3.00,0.1%,114.1%,"$30,357.00"
SPX,12_00_to_12_30,50,12_00,12_30,0.99,64.9%,496,-$1.00,0%,69.2%,"$4,523.00"
SPX,11_00_to_11_30,50,11_00,11_30,0.98,65.9%,492,-$1.00,0%,80.2%,"$5,115.00"
SPX,14_00_to_14_30,50,14_00,14_30,0.94,69.3%,495,-$7.00,-0.2%,47%,"$8,537.00"
SPX,11_30_to_12_00,50,11_30,12_00,0.93,64.4%,495,-$5.00,-0.2%,74.3%,"$5,115.00"
SPX,15_30_to_16_00,50,15_30,16_00,0.93,60.4%,495,-$21.00,-0.5%,24%,"$20,283.00"
SPX,12_30_to_13_00,50,12_30,13_00,0.65,57.7%,496,-$25.00,-0.8%,63.1%,"$13,083.00"
